Ensembl_ID,protein_name,gene_name
ENSP00000238682,Transforming growth factor beta-3 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-3 (TGF-beta-3)],TGFB3
ENSP00000238714,Poly(A) polymerase gamma (PAP-gamma) (EC 2.7.7.19) (Neo-poly(A) polymerase) (Neo-PAP) (Polynucleotide adenylyltransferase gamma) (SRP RNA 3'-adenylating enzyme) (Signal recognition particle RNA-adenylating enzyme) (SRP RNA-adenylating enzyme),PAPOLG PAP2 PAPG
ENSP00000238721,Quinone oxidoreductase PIG3 (EC 1.6.5.5) (NADPH:quinone reductase PIG3) (Tumor protein p53-inducible protein 3) (Protein PIG3) (p53-induced gene 3 protein),TP53I3 PIG3
ENSP00000238738,Rho-related GTP-binding protein RhoQ (Ras-like protein TC10) (Ras-like protein family member 7A),RHOQ ARHQ RASL7A TC10
ENSP00000238788,Transmembrane protein 214,TMEM214 PP446
ENSP00000238789,ATPase family AAA domain-containing protein 2B,ATAD2B KIAA1240
ENSP00000238823,Protein FAM98A,FAM98A
ENSP00000238855,Aftiphilin,AFTPH AFTH
ENSP00000238875,Galectin-related protein (Galectin-like protein) (Lectin galactoside-binding-like protein),LGALSL GRP HSPC159
ENSP00000238892,Cysteine-rich PDZ-binding protein (Cysteine-rich interactor of PDZ three) (Cysteine-rich interactor of PDZ3),CRIPT HSPC139
ENSP00000238936,Transmembrane protein 180 (Major facilitator superfamily domain-containing 13A),MFSD13A C10orf77 TMEM180
ENSP00000238994,Protein phosphatase 1 regulatory subunit 3C (Protein phosphatase 1 regulatory subunit 5) (PP1 subunit R5) (Protein targeting to glycogen) (PTG),PPP1R3C PPP1R5
ENSP00000239032,Prolactin-releasing peptide receptor (PrRP receptor) (PrRPR) (G-protein coupled receptor 10) (hGR3),PRLHR GPR10 GR3
ENSP00000239144,Homeobox protein Hox-B8 (Homeobox protein Hox-2.4) (Homeobox protein Hox-2D),HOXB8 HOX2D
ENSP00000239151,Homeobox protein Hox-B5 (Homeobox protein HHO.C10) (Homeobox protein Hox-2A) (Homeobox protein Hu-1),HOXB5 HOX2A
ENSP00000239165,Homeobox protein Hox-B7 (Homeobox protein HHO.C1) (Homeobox protein Hox-2C),HOXB7 HOX2C
ENSP00000239223,Dual specificity protein phosphatase 1 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH1) (Mitogen-activated protein kinase phosphatase 1) (MAP kinase phosphatase 1) (MKP-1) (Protein-tyrosine phosphatase CL100),DUSP1 CL100 MKP1 PTPN10 VH1
ENSP00000239231,Pantothenate kinase 3 (hPanK3) (EC 2.7.1.33) (Pantothenic acid kinase 3),PANK3
ENSP00000239243,Homeobox protein MSX-2 (Homeobox protein Hox-8),MSX2 HOX8
ENSP00000239316,Early placenta insulin-like peptide (EPIL) (Insulin-like peptide 4) (Placentin) [Cleaved into: Early placenta insulin-like peptide B chain; Early placenta insulin-like peptide A chain],INSL4
ENSP00000239347,Interferon alpha-7 (IFN-alpha-7) (Interferon alpha-J) (LeIF J) (Interferon alpha-J1) (IFN-alpha-J1),IFNA7
ENSP00000239367,Low-density lipoprotein receptor-related protein 11 (LRP-11),LRP11
ENSP00000239374,Coiled-coil domain-containing protein 170,CCDC170 C6orf97
ENSP00000239440,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 (Centaurin-delta-3) (Cnt-d3)",ARAP3 CENTD3
ENSP00000239446,Protocadherin beta-10 (PCDH-beta-10),PCDHB10 UNQ1906/PRO4352
ENSP00000239449,Protocadherin beta-14 (PCDH-beta-14),PCDHB14
ENSP00000239450,Protocadherin beta-12 (PCDH-beta-12),PCDHB12
ENSP00000239451,Mitochondrial ornithine transporter 2 (Solute carrier family 25 member 2),SLC25A2 ORC2 ORNT2
ENSP00000239461,Paired mesoderm homeobox protein 1 (Homeobox protein PHOX1) (Paired-related homeobox protein 1) (PRX-1),PRRX1 PMX1
ENSP00000239462,Tenascin-N (TN-N) (Tenascin-W) (TN-W),TNN TNW
ENSP00000239587,Probable tubulin polyglutamylase TTLL2 (EC 6.-.-.-) (Testis-specific protein NYD-TSPG) (Tubulin--tyrosine ligase-like protein 2),TTLL2 C6orf104
ENSP00000239666,PDZ domain-containing protein 11 (ATPase-interacting PDZ protein) (Plasma membrane calcium ATPase-interacting single-PDZ protein) (PMCA-interacting single-PDZ protein),PDZD11 AIPP1 PDZK11 PISP HSPC227 UNQ6486/PRO21335
ENSP00000239690,NudC domain-containing protein 1 (Chronic myelogenous leukemia tumor antigen 66) (Tumor antigen CML66),NUDCD1 CML66
ENSP00000239830,Coiled-coil domain-containing protein 77,CCDC77
ENSP00000239882,ETS-related transcription factor Elf-1 (E74-like factor 1),ELF1
ENSP00000239891,Dolichyl-phosphate beta-glucosyltransferase (DolP-glucosyltransferase) (EC 2.4.1.117) (Asparagine-linked glycosylation protein 5 homolog),ALG5 HSPC149
ENSP00000239906,Protein FAM53C,FAM53C C5orf6
ENSP00000239926,Myotilin (57 kDa cytoskeletal protein) (Myofibrillar titin-like Ig domains protein) (Titin immunoglobulin domain protein),MYOT TTID
ENSP00000239938,Early growth response protein 1 (EGR-1) (AT225) (Nerve growth factor-induced protein A) (NGFI-A) (Transcription factor ETR103) (Transcription factor Zif268) (Zinc finger protein 225) (Zinc finger protein Krox-24),EGR1 KROX24 ZNF225
ENSP00000239940,Profilin-2 (Profilin II),PFN2
ENSP00000240055,Nuclear transcription factor Y subunit beta (CAAT box DNA-binding protein subunit B) (Nuclear transcription factor Y subunit B) (NF-YB),NFYB HAP3
ENSP00000240079,WASH complex subunit 3 (Coiled-coil domain-containing protein 53),WASHC3 AD-016 CCDC53 CGI-116 x0009
ENSP00000240100,Dual specificity protein phosphatase 4 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH2) (Mitogen-activated protein kinase phosphatase 2) (MAP kinase phosphatase 2) (MKP-2),DUSP4 MKP2 VH2
ENSP00000240123,Vinexin (SH3-containing adapter molecule 1) (SCAM-1) (Sorbin and SH3 domain-containing protein 3),SORBS3 SCAM1
ENSP00000240185,TAR DNA-binding protein 43 (TDP-43),TARDBP TDP43
ENSP00000240285,Retinol dehydrogenase 10 (EC 1.1.1.300) (Short chain dehydrogenase/reductase family 16C member 4),RDH10 SDR16C4 UNQ9375/PRO34191
ENSP00000240306,Homeobox protein DLX-4 (Beta protein 1) (Homeobox protein DLX-7) (Homeobox protein DLX-8),DLX4 BP1 DLX7 DLX8 DLX9
ENSP00000240316,Coilin (p80-coilin),COIL CLN80
ENSP00000240328,T-box transcription factor TBX2 (T-box protein 2),TBX2
ENSP00000240333,Solute carrier family 35 member B1 (ATP/ADP exchanger ER) (AXER) (Endoplasmic reticulum ATP/ADP translocase) (UDP-galactose transporter-related protein 1) (UGTrel1),SLC35B1 UGTREL1
ENSP00000240335,T-box transcription factor TBX4 (T-box protein 4),TBX4
ENSP00000240361,Inactive serine/threonine-protein kinase TEX14 (Protein kinase-like protein SgK307) (Sugen kinase 307) (Testis-expressed sequence 14) (Testis-expressed sequence 14 protein),TEX14 SGK307
ENSP00000240364,Protein FAM117A (C/EBP-induced protein),FAM117A
ENSP00000240423,Condensin complex subunit 2 (Barren homolog protein 1) (Chromosome-associated protein H) (hCAP-H) (Non-SMC condensin I complex subunit H) (XCAP-H homolog),NCAPH BRRN BRRN1 CAPH KIAA0074
ENSP00000240488,Meiotic nuclear division protein 1 homolog,MND1 GAJ
ENSP00000240499,Zinc finger protein 141,ZNF141 D4S90
ENSP00000240587,Teashirt homolog 3 (Zinc finger protein 537),TSHZ3 KIAA1474 TSH3 ZNF537
ENSP00000240615,Taste receptor type 2 member 8 (T2R8) (Taste receptor family B member 5) (TRB5),TAS2R8
ENSP00000240617,Phospholipase B-like 1 (EC 3.1.1.-) (LAMA-like protein 1) (Lamina ancestor homolog 1) (Phospholipase B domain-containing protein 1) [Cleaved into: Phospholipase B-like 1 chain A; Phospholipase B-like 1 chain B; Phospholipase B-like 1 chain C],PLBD1
ENSP00000240618,NKG2-D type II integral membrane protein (Killer cell lectin-like receptor subfamily K member 1) (NK cell receptor D) (NKG2-D-activating NK receptor) (CD antigen CD314),KLRK1 D12S2489E NKG2D
ENSP00000240619,Taste receptor type 2 member 10 (T2R10) (Taste receptor family B member 2) (TRB2),TAS2R10
ENSP00000240652,Islet amyloid polypeptide (Amylin) (Diabetes-associated peptide) (DAP) (Insulinoma amyloid peptide),IAPP
ENSP00000240662,"ATP-sensitive inward rectifier potassium channel 8 (Inward rectifier K(+) channel Kir6.1) (Potassium channel, inwardly rectifying subfamily J member 8) (uKATP-1)",KCNJ8
ENSP00000240687,Taste receptor type 2 member 7 (T2R7) (Taste receptor family B member 4) (TRB4),TAS2R7
ENSP00000240691,Taste receptor type 2 member 9 (T2R9) (Taste receptor family B member 6) (TRB6),TAS2R9
ENSP00000240851,Protein TFG (TRK-fused gene protein),TFG
ENSP00000240874,Kalirin (EC 2.7.11.1) (Huntingtin-associated protein-interacting protein) (Protein Duo) (Serine/threonine-protein kinase with Dbl- and pleckstrin homology domain),KALRN DUET DUO HAPIP TRAD
ENSP00000240922,N-alpha-acetyltransferase 50 (hNaa50p) (EC 2.3.1.258) (N-acetyltransferase 13) (N-acetyltransferase 5) (hNAT5) (N-acetyltransferase san homolog) (hSAN) (N-epsilon-acetyltransferase 50) (EC 2.3.1.-) (NatE catalytic subunit),NAA50 MAK3 NAT13 NAT5
ENSP00000241014,C-Jun-amino-terminal kinase-interacting protein 1 (JIP-1) (JNK-interacting protein 1) (Islet-brain 1) (IB-1) (JNK MAP kinase scaffold protein 1) (Mitogen-activated protein kinase 8-interacting protein 1),MAPK8IP1 IB1 JIP1 PRKM8IP
ENSP00000241041,Peroxisomal membrane protein PEX16 (Peroxin-16) (Peroxisomal biogenesis factor 16),PEX16
ENSP00000241051,DEP domain-containing protein 7 (Protein TR2/D15),DEPDC7
ENSP00000241052,Catalase (EC 1.11.1.6),CAT
ENSP00000241125,Gap junction alpha-3 protein (Connexin-46) (Cx46),GJA3
ENSP00000241256,Growth hormone secretagogue receptor type 1 (GHS-R) (GH-releasing peptide receptor) (GHRP) (Ghrelin receptor),GHSR
ENSP00000241261,Tumor necrosis factor ligand superfamily member 10 (Apo-2 ligand) (Apo-2L) (TNF-related apoptosis-inducing ligand) (Protein TRAIL) (CD antigen CD253),TNFSF10 APO2L TRAIL
ENSP00000241305,Inactive carboxypeptidase-like protein X2,CPXM2 CPX2 UNQ676/PRO1310
ENSP00000241337,Glutathione S-transferase Mu 2 (EC 2.5.1.18) (GST class-mu 2) (GSTM2-2),GSTM2 GST4
ENSP00000241416,Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA),ACVR2A ACVR2
ENSP00000241436,DNA polymerase kappa (EC 2.7.7.7) (DINB protein) (DINP),POLK DINB1
ENSP00000241453,Receptor-type tyrosine-protein kinase FLT3 (EC 2.7.10.1) (FL cytokine receptor) (Fetal liver kinase-2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Stem cell tyrosine kinase 1) (STK-1) (CD antigen CD135),FLT3 CD135 FLK2 STK1
ENSP00000241463,Ras-like protein family member 11A (EC 3.6.5.2),RASL11A
ENSP00000241502,UAP56-interacting factor (Forty-two-three domain-containing protein 1) (Protein 40-2-3),FYTTD1 UIF
ENSP00000241651,Myogenin (Class C basic helix-loop-helix protein 3) (bHLHc3) (Myogenic factor 4) (Myf-4),MYOG BHLHC3 MYF4
ENSP00000242057,Aryl hydrocarbon receptor (Ah receptor) (AhR) (Class E basic helix-loop-helix protein 76) (bHLHe76),AHR BHLHE76
ENSP00000242067,Protein PTHB1 (Bardet-Biedl syndrome 9 protein) (Parathyroid hormone-responsive B1 gene protein),BBS9 PTHB1
ENSP00000242104,Oncomodulin-1 (OM) (Parvalbumin beta),OCM OCM1 OCMN
ENSP00000242108,Endonuclease/exonuclease/phosphatase family domain-containing protein 1,EEPD1 KIAA1706
ENSP00000242159,Homeobox protein Hox-A7 (Homeobox protein Hox 1.1) (Homeobox protein Hox-1A),HOXA7 HOX1A
ENSP00000242208,Inhibin beta A chain (Activin beta-A chain) (Erythroid differentiation protein) (EDF),INHBA
ENSP00000242249,Receptor activity-modifying protein 3 (Calcitonin-receptor-like receptor activity-modifying protein 3) (CRLR activity-modifying protein 3),RAMP3
ENSP00000242257,"rRNA methyltransferase 2, mitochondrial (EC 2.1.1.-) (16S rRNA (uridine(1369)-2'-O)-methyltransferase) (16S rRNA [Um1369] 2'-O-methyltransferase) (Protein ftsJ homolog 2)",MRM2 FJH1 FTSJ2
ENSP00000242261,Twist-related protein 1 (Class A basic helix-loop-helix protein 38) (bHLHa38) (H-twist),TWIST1 BHLHA38 TWIST
ENSP00000242285,Clathrin light chain A (Lca),CLTA
ENSP00000242351,Zinc finger CCCH-type antiviral protein 1 (ADP-ribosyltransferase diphtheria toxin-like 13) (ARTD13) (Inactive Poly [ADP-ribose] polymerase 13) (PARP13) (Zinc finger CCCH domain-containing protein 2) (Zinc finger antiviral protein) (ZAP),ZC3HAV1 ZC3HDC2 PRO1677
ENSP00000242375,Aldo-keto reductase family 1 member D1 (EC 1.3.1.3) (3-oxo-5-beta-steroid 4-dehydrogenase) (Delta(4)-3-ketosteroid 5-beta-reductase) (Delta(4)-3-oxosteroid 5-beta-reductase),AKR1D1 SRD5B1
ENSP00000242462,Neurogenin-3 (NGN-3) (Class A basic helix-loop-helix protein 7) (bHLHa7) (Protein atonal homolog 5),NEUROG3 ATOH5 BHLHA7 NGN3
ENSP00000242465,Serglycin (Hematopoietic proteoglycan core protein) (Platelet proteoglycan core protein) (P.PG) (Secretory granule proteoglycan core protein),SRGN PRG PRG1
ENSP00000242480,E3 SUMO-protein ligase EGR2 (EC 2.3.2.-) (AT591) (E3 SUMO-protein transferase ERG2) (Early growth response protein 2) (EGR-2) (Zinc finger protein Krox-20),EGR2 KROX20
ENSP00000242505,Primary cilium assembly protein FAM149B1,FAM149B1 KIAA0974
ENSP00000242576,Uracil-DNA glycosylase (UDG) (EC 3.2.2.27),UNG DGU UNG1 UNG15
ENSP00000242591,Intraflagellar transport protein 81 homolog (Carnitine deficiency-associated protein expressed in ventricle 1) (CDV-1),IFT81 CDV1
ENSP00000242592,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial (SCAD) (EC 1.3.8.1) (Butyryl-CoA dehydrogenase)",ACADS
ENSP00000242719,RING finger protein 11,RNF11 CGI-123
ENSP00000242728,Class E basic helix-loop-helix protein 41 (bHLHe41) (Class B basic helix-loop-helix protein 3) (bHLHb3) (Differentially expressed in chondrocytes protein 2) (hDEC2) (Enhancer-of-split and hairy-related protein 1) (SHARP-1),BHLHE41 BHLHB3 DEC2 SHARP1
ENSP00000242729,Sarcospan (K-ras oncogene-associated protein) (Kirsten-ras-associated protein),SSPN KRAG
ENSP00000242776,ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49),DDX39A DDX39
ENSP00000242784,Telomerase RNA component interacting RNase (EC 3.1.13.-) (Exoribonuclease TRIR),TRIR C19orf43
ENSP00000242786,Adhesion G protein-coupled receptor E5 (Leukocyte antigen CD97) (CD antigen CD97) [Cleaved into: Adhesion G protein-coupled receptor E5 subunit alpha; Adhesion G protein-coupled receptor E5 subunit beta],ADGRE5 CD97
ENSP00000242804,Zinc finger protein 442,ZNF442
ENSP00000242819,Coiled-coil domain-containing protein 70,CCDC70
ENSP00000242827,Emopamil-binding protein-like (Emopamil-binding-related protein),EBPL EBRP ERP
ENSP00000242839,Copper-transporting ATPase 2 (EC 7.2.2.8) (Copper pump 2) (Wilson disease-associated protein) [Cleaved into: WND/140 kDa],ATP7B PWD WC1 WND
ENSP00000243045,ORM1-like protein 2 (Adoplin-2),ORMDL2 HSPC160 MSTP095
ENSP00000243052,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B (Cam-PDE 1B) (EC 3.1.4.17) (63 kDa Cam-PDE)",PDE1B PDES1B
ENSP00000243056,Homeobox protein Hox-C13 (Homeobox protein Hox-3G),HOXC13 HOX3G
ENSP00000243077,Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (Apolipoprotein E receptor) (APOER) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)],LRP1 A2MR APR
ENSP00000243103,Homeobox protein Hox-C12 (Homeobox protein Hox-3F),HOXC12 HOC3F HOX3F
ENSP00000243108,Homeobox protein Hox-C6 (Homeobox protein CP25) (Homeobox protein HHO.C8) (Homeobox protein Hox-3C),HOXC6 HOX3C
ENSP00000243167,Fatty-acid amide hydrolase 1 (EC 3.5.1.99) (Anandamide amidohydrolase 1) (Fatty acid ester hydrolase) (EC 3.1.1.-) (Oleamide hydrolase 1),FAAH FAAH1
ENSP00000243253,Protein transport protein Sec61 subunit alpha isoform 1 (Sec61 alpha-1),SEC61A1 SEC61A
ENSP00000243298,Ras-related protein Rab-9B (Rab-9-like protein) (Rab-9L),RAB9B RAB9L
ENSP00000243314,Melanoma-associated antigen 9 (Cancer/testis antigen 1.9) (CT1.9) (MAGE-9 antigen),MAGEA9 MAGE9 MAGEA9A; MAGEA9B
ENSP00000243326,Telomere-associated protein RIF1 (Rap1-interacting factor 1 homolog),RIF1
ENSP00000243344,Tetratricopeptide repeat protein 21B (TPR repeat protein 21B) (Intraflagellar transport 139 homolog),TTC21B IFT139 KIAA1992 Nbla10696
ENSP00000243346,N-myc-interactor (Nmi) (N-myc and STAT interactor),NMI
ENSP00000243347,Tumor necrosis factor-inducible gene 6 protein (EC 3.1.1.-) (Hyaluronate-binding protein) (TNF-stimulated gene 6 protein) (TSG-6) (Tumor necrosis factor alpha-induced protein 6) (TNF alpha-induced protein 6),TNFAIP6 TSG6
ENSP00000243349,Activin receptor type-1C (EC 2.7.11.30) (Activin receptor type IC) (ACTR-IC) (Activin receptor-like kinase 7) (ALK-7),ACVR1C ALK7
ENSP00000243389,Proton-coupled amino acid transporter 1 (Proton/amino acid transporter 1) (hPAT1) (Solute carrier family 36 member 1),SLC36A1 PAT1
ENSP00000243440,Basic leucine zipper transcriptional factor ATF-like 3 (B-ATF-3) (21 kDa small nuclear factor isolated from T-cells) (Jun dimerization protein p21SNFT),BATF3 SNFT
ENSP00000243457,"Inward rectifier potassium channel 2 (Cardiac inward rectifier potassium channel) (Inward rectifier K(+) channel Kir2.1) (IRK-1) (hIRK1) (Potassium channel, inwardly rectifying subfamily J member 2)",KCNJ2 IRK1
ENSP00000243501,Group XIIA secretory phospholipase A2 (GXII sPLA2) (sPLA2-XII) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase 12A),PLA2G12A PLA2G12 FKSG38 UNQ2519/PRO6012
ENSP00000243563,U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A),SNRPA
ENSP00000243578,B9 domain-containing protein 2 (MKS1-related protein 2),B9D2 MKSR2
ENSP00000243611,C4b-binding protein beta chain,C4BPB
ENSP00000243644,Zinc finger protein 350 (KRAB zinc finger protein ZFQR) (Zinc finger and BRCA1-interacting protein with a KRAB domain 1) (Zinc finger protein ZBRK1),ZNF350 ZBRK1
ENSP00000243662,Ras-related protein Rab-38 (Melanoma antigen NY-MEL-1),RAB38
ENSP00000243673,G-protein coupled receptor 83 (G-protein coupled receptor 72),GPR83 GPR72 JP05 KIAA1540
ENSP00000243706,HAUS augmin-like complex subunit 3,HAUS3 C4orf15
ENSP00000243776,Chondroitin sulfate synthase 2 (EC 2.4.1.175) (EC 2.4.1.226) (Chondroitin glucuronyltransferase 2) (Chondroitin-polymerizing factor) (ChPF) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase II) (N-acetylgalactosaminyltransferase 2),CHPF CSS2 UNQ651/PRO1281
ENSP00000243786,Inhibin alpha chain,INHA
ENSP00000243878,Enkurin domain-containing protein 1,ENKD1 C16orf48 UNQ6410/PRO21183
ENSP00000243903,Actin-related protein 5 (hARP5) (Sarcoma antigen NY-SAR-16),ACTR5 ARP5
ENSP00000243911,Melanocortin receptor 3 (MC3-R),MC3R
ENSP00000243924,Elafin (Elastase-specific inhibitor) (ESI) (Peptidase inhibitor 3) (PI-3) (Protease inhibitor WAP3) (Skin-derived antileukoproteinase) (SKALP) (WAP four-disulfide core domain protein 14),PI3 WAP3 WFDC14
ENSP00000243938,WAP four-disulfide core domain protein 3 (Putative protease inhibitor WAP14),WFDC3 WAP14
ENSP00000243997,"ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon) (ATP synthase F1 subunit epsilon)",ATP5F1E ATP5E
ENSP00000244007,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (PLC-148) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-II) (PLC-II) (Phospholipase C-gamma-1) (PLC-gamma-1)",PLCG1 PLC1
ENSP00000244020,"Serine/arginine-rich splicing factor 6 (Pre-mRNA-splicing factor SRP55) (Splicing factor, arginine/serine-rich 6)",SRSF6 SFRS6 SRP55
ENSP00000244040,Ras-related protein Rab-22A (Rab-22),RAB22A RAB22
ENSP00000244043,Prostacyclin synthase (EC 5.3.99.4) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152) (Prostaglandin I2 synthase),PTGIS CYP8 CYP8A1
ENSP00000244050,Zinc finger protein SNAI1 (Protein snail homolog 1) (Protein sna),SNAI1 SNAH
ENSP00000244051,Adenylyltransferase and sulfurtransferase MOCS3 (Molybdenum cofactor synthesis protein 3) (Molybdopterin synthase sulfurylase) (MPT synthase sulfurylase) [Includes: Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (Adenylyltransferase MOCS3) (Sulfur carrier protein MOCS2A adenylyltransferase); Molybdopterin-synthase sulfurtransferase (EC 2.8.1.11) (Sulfur carrier protein MOCS2A sulfurtransferase) (Sulfurtransferase MOCS3)],MOCS3 UBA4
ENSP00000244061,E3 ubiquitin-protein ligase RNF114 (EC 2.3.2.27) (RING finger protein 114) (RING-type E3 ubiquitin transferase RNF114) (Zinc finger protein 228) (Zinc finger protein 313),RNF114 ZNF228 ZNF313
ENSP00000244096,Melanoma-associated antigen 10 (Cancer/testis antigen 1.10) (CT1.10) (MAGE-10 antigen),MAGEA10 MAGE10
ENSP00000244137,Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Peptidase D) (Proline dipeptidase) (Prolidase),PEPD PRD
ENSP00000244174,Interleukin-9 receptor (IL-9 receptor) (IL-9R) (CD antigen CD129),IL9R
ENSP00000244217,"Methylmalonyl-CoA epimerase, mitochondrial (EC 5.1.99.1) (DL-methylmalonyl-CoA racemase)",MCEE
ENSP00000244221,Polyadenylate-binding protein-interacting protein 2B (PABP-interacting protein 2B) (PAIP-2B) (Poly(A)-binding protein-interacting protein 2B),PAIP2B KIAA1155
ENSP00000244227,U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein (U4/U6.U5 snRNP 27 kDa protein) (U4/U6.U5-27K) (Nucleic acid-binding protein RY-1) (U4/U6.U5 tri-snRNP-associated 27 kDa protein) (27K) (U4/U6.U5 tri-snRNP-associated protein 3),SNRNP27
ENSP00000244230,U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10),MPHOSPH10 MPP10
ENSP00000244241,Interleukin-17C (IL-17C) (Cytokine CX2),IL17C UNQ561/PRO1122
ENSP00000244289,Hormone-sensitive lipase (HSL) (EC 3.1.1.79) (Monoacylglycerol lipase LIPE) (EC 3.1.1.23) (Retinyl ester hydrolase) (REH),LIPE
ENSP00000244314,Interferon-inducible GTPase 5 (EC 3.6.5.-) (Immunity-related GTPase cinema 1),IRGC IIGP5 IRGC1
ENSP00000244333,Ly6/PLAUR domain-containing protein 3 (GPI-anchored metastasis-associated protein C4.4A homolog) (Matrigel-induced gene C4 protein) (MIG-C4),LYPD3 C4.4A UNQ491/PRO1007
ENSP00000244336,Carcinoembryonic antigen-related cell adhesion molecule 8 (CD67 antigen) (Carcinoembryonic antigen CGM6) (Non-specific cross-reacting antigen NCA-95) (CD antigen CD66b),CEACAM8 CGM6
ENSP00000244360,RING finger protein 39 (Protein HZFw),RNF39 HZFW
ENSP00000244426,F-box only protein 9 (Cross-immune reaction antigen 1) (Renal carcinoma antigen NY-REN-57),FBXO9 FBX9 VCIA1
ENSP00000244496,Ribosomal RNA processing protein 36 homolog,RRP36 C6orf153 HSPC253
ENSP00000244513,Butyrophilin subfamily 1 member A1 (BT),BTN1A1 BTN
ENSP00000244519,Butyrophilin subfamily 3 member A3,BTN3A3 BTF3
ENSP00000244520,U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C),SNRPC
ENSP00000244527,Sodium-dependent phosphate transport protein 1 (Na(+)/PI cotransporter 1) (Na/Pi-4) (Renal Na(+)-dependent phosphate cotransporter 1) (Renal sodium-dependent phosphate transport protein 1) (Renal sodium-phosphate transport protein 1) (Sodium/phosphate cotransporter 1) (Solute carrier family 17 member 1),SLC17A1 NPT1
ENSP00000244534,Histone H1.3 (Histone H1c) (Histone H1s-2),H1-3 H1F3 HIST1H1D
ENSP00000244537,Histone H4,H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4C16 H4-16 HIST4H4
ENSP00000244565,UNC5C-like protein (Protein unc-5 homolog C-like) (ZU5 and death domain-containing protein),UNC5CL ZUD
ENSP00000244571,"Alanine--tRNA ligase, mitochondrial (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)",AARS2 AARSL KIAA1270
ENSP00000244573,Histone H1.1 (Histone H1a),H1-1 H1F1 HIST1H1A
ENSP00000244576,Zinc finger protein 391,ZNF391
ENSP00000244669,C->U-editing enzyme APOBEC-2 (EC 3.5.4.36) (mRNA(cytosine(6666)) deaminase 2),APOBEC2
ENSP00000244709,Triggering receptor expressed on myeloid cells 1 (TREM-1) (Triggering receptor expressed on monocytes 1) (CD antigen CD354),TREM1
ENSP00000244711,Male-enhanced antigen 1 (MEA-1),MEA1 MEA
ENSP00000244728,Collagen alpha-1(XXI) chain,COL21A1 COL1AL FP633
ENSP00000244745,Transcription factor SOX-4,SOX4
ENSP00000244751,Copine-5 (Copine V),CPNE5 KIAA1599
ENSP00000244763,Translocon-associated protein subunit alpha (TRAP-alpha) (Signal sequence receptor subunit alpha) (SSR-alpha),SSR1 TRAPA PSEC0262
ENSP00000244769,Ataxin-1 (Spinocerebellar ataxia type 1 protein),ATXN1 ATX1 SCA1
ENSP00000244869,Proepiregulin [Cleaved into: Epiregulin (EPR)],EREG
ENSP00000244926,Secretoglobin family 1D member 2 (Lipophilin-B),SCGB1D2 LIPHB LPNB
